EXAMPLE_ID,RANK_1,RANK_2,RANK_3,RANK_4,RANK_5
valid_0015,MEASURE VIA CD,DEPOSIT BARRIER METAL,MEASURE VIA RESISTANCE,MEASURE GATE CD,BREAKDOWN VOLTAGE TEST
valid_0016,STRIP PHOTORESIST,STRIP RESIST,STRIP RESIST LEVEL 2,FINAL CLEAN,IMPLANT N BUFFER
valid_0017,CLEAN AFTER VIA ETCH,CLEAN AFTER ETCH,CLEAN AFTER METAL ETCH,VIA ETCH THROUGH DIELECTRIC,DIELECTRIC ETCH VIA
valid_0018,PASSIVATION ETCH PAD OPENING,PASSIVATION ETCH,CLEAN PAD OPENING,PATTERN INSPECTION LEVEL 1,CMP VIA FILL
valid_0019,DEPOSIT BARRIER METAL,MEASURE VIA CD,MEASURE VIA RESISTANCE,DEPOSIT PASSIVATION LAYER,MEASURE GATE CD
valid_0020,STRIP PHOTORESIST,STRIP RESIST,STRIP RESIST LEVEL 2,FINAL CLEAN,CLEAN AFTER METAL ETCH
valid_0021,CLEAN AFTER VIA ETCH,CLEAN AFTER ETCH,CLEAN AFTER METAL ETCH,VIA ETCH THROUGH DIELECTRIC,CLEAN AFTER POLY ETCH
valid_0022,DEVELOP PAD WINDOW,DEVELOP PHOTORESIST,POST EXPOSE BAKE,CURE PASSIVATION,ELECTRICAL PARAMETRIC TEST
valid_0023,CLEAN AFTER VIA ETCH,CLEAN AFTER ETCH,CLEAN AFTER POLY ETCH,CLEAN AFTER FIELD ETCH,MEASURE SPACER WIDTH
valid_0024,PASSIVATION ETCH PAD OPENING,PASSIVATION ETCH,METAL PATTERN INSPECTION,VIA ETCH,VIA OPENING INSPECTION
valid_0025,CLEAN AFTER VIA ETCH,CLEAN AFTER ETCH,MEASURE SPACER WIDTH,DIELECTRIC ETCH VIA,EXPOSE LITHO LEVEL 3
valid_0026,DEVELOP PHOTORESIST,DEVELOP PAD WINDOW,POST EXPOSE BAKE,METAL PATTERN INSPECTION,PARAMETRIC TEST
valid_0027,STRIP RESIST,STRIP PHOTORESIST,STRIP RESIST LEVEL 2,HARD BAKE,FINAL CLEAN
valid_0028,OPEN PAD WINDOW LITHO,PAD WINDOW LITHO,CLEAN AFTER METAL ETCH,SWITCHING TEST,BACKSIDE ETCH CLEAN
valid_0029,STRIP PHOTORESIST,STRIP RESIST,STRIP RESIST LEVEL 2,HARD BAKE,IMPLANT WELL
valid_0030,DEVELOP PAD WINDOW,DEVELOP PHOTORESIST,POST EXPOSE BAKE,CURE PASSIVATION,MEASURE BACKSIDE CONTACT
valid_0031,MEASURE VIA CD,DEPOSIT BARRIER METAL,MEASURE VIA RESISTANCE,MEASURE GATE CD,BREAKDOWN VOLTAGE TEST
valid_0032,STRIP RESIST,STRIP PHOTORESIST,STRIP RESIST LEVEL 2,FINAL CLEAN,IMPLANT WELL
valid_0033,FILL VIA METAL,FILL VIA TUNGSTEN,<eos>,DEPOSIT METAL SEED,ANNEAL METAL
valid_0034,STRIP PHOTORESIST,STRIP RESIST,FINAL CLEAN,HARD BAKE,STRIP RESIST LEVEL 2
valid_0035,DEPOSIT BARRIER METAL,MEASURE VIA CD,MEASURE VIA RESISTANCE,MEASURE GATE CD,DEPOSIT PASSIVATION LAYER
valid_0036,CLEAN PAD OPENING,PRE CLEAN INSPECTION,CLEAN AFTER METAL ETCH,INITIAL WAFER INSPECTION,FINAL CLEAN
valid_0037,MEASURE VIA CD,DEPOSIT BARRIER METAL,MEASURE VIA RESISTANCE,BREAKDOWN VOLTAGE TEST,MEASURE SPACER WIDTH
valid_0038,STRIP RESIST,STRIP PHOTORESIST,STRIP RESIST LEVEL 2,FINAL CLEAN,IMPLANT WELL
valid_0039,CMP METAL,CMP VIA FILL,LEAKAGE TEST,POLYSILICON ANNEAL,ALIGN MASK LEVEL 3
valid_0040,MEASURE PAD OPENING,PATTERN INSPECTION LEVEL 2,DEPOSIT PAD OXIDE,IMPLANT N BUFFER,FINAL GEOMETRY CHECK
valid_0041,MEASURE VIA CD,DEPOSIT BARRIER METAL,MEASURE VIA RESISTANCE,MEASURE GATE CD,BREAKDOWN VOLTAGE TEST
valid_0042,DEVELOP PAD WINDOW,DEVELOP PHOTORESIST,POST EXPOSE BAKE,METAL PATTERN INSPECTION,PARAMETRIC TEST
valid_0043,MEASURE VIA CD,DEPOSIT BARRIER METAL,MEASURE VIA RESISTANCE,MEASURE GATE CD,BREAKDOWN VOLTAGE TEST
valid_0044,PASSIVATION ETCH PAD OPENING,PASSIVATION ETCH,CMP VIA FILL,CMP METAL,CLEAN PAD OPENING
valid_0045,MEASURE VIA CD,DEPOSIT BARRIER METAL,MEASURE VIA RESISTANCE,MEASURE GATE CD,DIELECTRIC ETCH VIA
valid_0046,PASSIVATION ETCH PAD OPENING,PASSIVATION ETCH,VIA OPENING INSPECTION,METAL PATTERN INSPECTION,EPITAXIAL REWORK CHECK
valid_0047,DEPOSIT METAL SEED,DEPOSIT TUNGSTEN SEED,DEPOSIT TOP METAL,FILL VIA METAL,CMP VIA FILL
valid_0048,STRIP PHOTORESIST,STRIP RESIST,STRIP RESIST LEVEL 2,FINAL CLEAN,OPEN PAD WINDOW
valid_0049,DEPOSIT BARRIER METAL,MEASURE VIA CD,MEASURE VIA RESISTANCE,MEASURE GATE CD,DEPOSIT PASSIVATION LAYER
valid_0050,PASSIVATION ETCH PAD OPENING,PASSIVATION ETCH,FINAL CLEAN,VIA OPENING INSPECTION,VIA ETCH
valid_0051,DEPOSIT BARRIER METAL,MEASURE VIA CD,MEASURE VIA RESISTANCE,DEPOSIT PASSIVATION LAYER,MEASURE GATE CD
valid_0052,STRIP RESIST,STRIP PHOTORESIST,STRIP RESIST LEVEL 2,FINAL CLEAN,FINAL PARTICLE INSPECTION
valid_0053,CLEAN AFTER VIA ETCH,CLEAN AFTER ETCH,CLEAN AFTER METAL ETCH,VIA ETCH THROUGH DIELECTRIC,DIELECTRIC ETCH VIA
valid_0054,PASSIVATION ETCH,PASSIVATION ETCH PAD OPENING,VIA OPENING INSPECTION,FINAL CLEAN,METAL PATTERN INSPECTION
valid_0055,DEPOSIT METAL SEED,DEPOSIT TUNGSTEN SEED,FILL VIA METAL,DEPOSIT BARRIER METAL,EPITAXY ANNEAL
valid_0056,CLEAN PAD OPENING,CLEAN AFTER METAL ETCH,PRE CLEAN INSPECTION,INITIAL WAFER INSPECTION,LEAKAGE TEST
valid_0057,STRIP RESIST,STRIP PHOTORESIST,STRIP RESIST LEVEL 2,HARD BAKE,MEASURE THICKNESS
valid_0058,STRIP RESIST,STRIP PHOTORESIST,STRIP RESIST LEVEL 2,HARD BAKE,FINAL CLEAN
valid_0059,MEASURE VIA CD,DEPOSIT BARRIER METAL,MEASURE VIA RESISTANCE,BREAKDOWN VOLTAGE TEST,MEASURE GATE CD
valid_0060,PASSIVATION ETCH PAD OPENING,PASSIVATION ETCH,VIA OPENING INSPECTION,METAL PATTERN INSPECTION,VIA ETCH
valid_0061,DEPOSIT BARRIER METAL,MEASURE VIA CD,MEASURE VIA RESISTANCE,MEASURE GATE CD,MEASURE GATE OXIDE THICKNESS
valid_0062,DEVELOP PHOTORESIST,DEVELOP PAD WINDOW,POST EXPOSE BAKE,CURE PASSIVATION,MEASURE BACKSIDE CONTACT
valid_0063,STRIP PHOTORESIST,STRIP RESIST,STRIP RESIST LEVEL 2,HARD BAKE,WAFER CLEAN PRE PROCESS
valid_0064,DEVELOP PHOTORESIST,DEVELOP PAD WINDOW,POST EXPOSE BAKE,PARAMETRIC TEST,CLEAN AFTER METAL ETCH
valid_0065,MEASURE VIA CD,DEPOSIT BARRIER METAL,MEASURE VIA RESISTANCE,MEASURE GATE CD,BREAKDOWN VOLTAGE TEST
valid_0066,PASSIVATION ETCH PAD OPENING,PASSIVATION ETCH,CMP VIA FILL,CMP METAL,CLEAN PAD OPENING
valid_0067,CLEAN AFTER VIA ETCH,CLEAN AFTER ETCH,CLEAN AFTER METAL ETCH,MEASURE SPACER WIDTH,DIELECTRIC ETCH VIA
valid_0068,STRIP RESIST,STRIP PHOTORESIST,STRIP RESIST LEVEL 2,FINAL CLEAN,HARD BAKE
valid_0069,CLEAN AFTER VIA ETCH,CLEAN AFTER ETCH,CLEAN AFTER METAL ETCH,CLEAN AFTER POLY ETCH,DIELECTRIC ETCH VIA
valid_0070,PASSIVATION ETCH PAD OPENING,PASSIVATION ETCH,METAL PATTERN INSPECTION,VIA OPENING INSPECTION,EPITAXIAL REWORK CHECK
valid_0071,CLEAN AFTER VIA ETCH,CLEAN AFTER ETCH,CLEAN AFTER METAL ETCH,VIA ETCH THROUGH DIELECTRIC,DIELECTRIC ETCH VIA
valid_0072,PASSIVATION ETCH PAD OPENING,PASSIVATION ETCH,METAL PATTERN INSPECTION,VIA OPENING INSPECTION,FINAL CLEAN
valid_0073,MEASURE VIA CD,DEPOSIT BARRIER METAL,MEASURE VIA RESISTANCE,BREAKDOWN VOLTAGE TEST,MEASURE GATE CD
valid_0074,STRIP RESIST,STRIP PHOTORESIST,STRIP RESIST LEVEL 2,FINAL CLEAN,CLEAN AFTER METAL ETCH
valid_0075,MEASURE VIA CD,DEPOSIT BARRIER METAL,MEASURE VIA RESISTANCE,MEASURE GATE CD,MEASURE SPACER WIDTH
valid_0076,PASSIVATION ETCH PAD OPENING,PASSIVATION ETCH,METAL PATTERN INSPECTION,FINAL CLEAN,DEPOSIT INTERLAYER DIELECTRIC
valid_0077,CLEAN AFTER VIA ETCH,CLEAN AFTER ETCH,CLEAN AFTER METAL ETCH,CLEAN AFTER POLY ETCH,DEPOSIT TOP METAL
valid_0078,STRIP PHOTORESIST,STRIP RESIST,STRIP RESIST LEVEL 2,FINAL CLEAN,HARD BAKE
valid_0079,MEASURE VIA CD,DEPOSIT BARRIER METAL,MEASURE VIA RESISTANCE,BREAKDOWN VOLTAGE TEST,MEASURE SPACER WIDTH
valid_0080,STRIP RESIST,STRIP PHOTORESIST,STRIP RESIST LEVEL 2,FINAL CLEAN,CLEAN AFTER METAL ETCH
valid_0081,DEPOSIT BARRIER METAL,MEASURE VIA CD,MEASURE VIA RESISTANCE,DEPOSIT PASSIVATION LAYER,MEASURE GATE CD
valid_0082,STRIP PHOTORESIST,STRIP RESIST,STRIP RESIST LEVEL 2,FINAL CLEAN,OPEN PAD WINDOW
valid_0083,STRIP PHOTORESIST,STRIP RESIST,STRIP RESIST LEVEL 2,HARD BAKE,FINAL CLEAN
valid_0084,PASSIVATION ETCH,PASSIVATION ETCH PAD OPENING,METAL PATTERN INSPECTION,VIA OPENING INSPECTION,FINAL CLEAN
valid_0085,MEASURE VIA CD,DEPOSIT BARRIER METAL,MEASURE VIA RESISTANCE,MEASURE GATE CD,DIELECTRIC ETCH VIA
valid_0086,CLEAN PAD OPENING,PRE CLEAN INSPECTION,INITIAL WAFER INSPECTION,FINAL THICKNESS MEASURE,BACKSIDE DRY
valid_0087,VIA ETCH,VIA ETCH THROUGH DIELECTRIC,HARD BAKE,DIELECTRIC ETCH VIA,OXIDE ETCH
valid_0088,PAD WINDOW LITHO,OPEN PAD WINDOW LITHO,CLEAN AFTER METAL ETCH,SWITCHING TEST,BACKSIDE ANNEAL
valid_0089,CLEAN AFTER VIA ETCH,CLEAN AFTER ETCH,CLEAN AFTER METAL ETCH,VIA ETCH THROUGH DIELECTRIC,DIELECTRIC ETCH VIA
valid_0090,STRIP RESIST,STRIP PHOTORESIST,STRIP RESIST LEVEL 2,FINAL CLEAN,IMPLANT WELL
valid_0091,MEASURE VIA CD,DEPOSIT BARRIER METAL,MEASURE VIA RESISTANCE,BREAKDOWN VOLTAGE TEST,MEASURE GATE CD
valid_0092,DEVELOP PHOTORESIST,DEVELOP PAD WINDOW,POST EXPOSE BAKE,CLEAN AFTER METAL ETCH,PARAMETRIC TEST
valid_0093,STRIP PHOTORESIST,STRIP RESIST,STRIP RESIST LEVEL 2,HARD BAKE,FINAL CLEAN
valid_0094,STRIP RESIST,STRIP PHOTORESIST,STRIP RESIST LEVEL 2,HARD BAKE,FINAL CLEAN
valid_0095,MEASURE VIA CD,DEPOSIT BARRIER METAL,MEASURE VIA RESISTANCE,MEASURE GATE CD,BREAKDOWN VOLTAGE TEST
valid_0096,STRIP PHOTORESIST,STRIP RESIST,STRIP RESIST LEVEL 2,FINAL CLEAN,IMPLANT N BUFFER
valid_0097,CLEAN AFTER VIA ETCH,CLEAN AFTER ETCH,CLEAN AFTER METAL ETCH,MEASURE SPACER WIDTH,CLEAN AFTER POLY ETCH
valid_0098,PASSIVATION ETCH PAD OPENING,PASSIVATION ETCH,METAL PATTERN INSPECTION,VIA OPENING INSPECTION,VIA ETCH
valid_0099,FILL VIA METAL,FILL VIA TUNGSTEN,<eos>,DEPOSIT METAL SEED,HARD BAKE
valid_0100,CLEAN PAD OPENING,PRE CLEAN INSPECTION,FINAL OXIDE CHECK,BACKSIDE CLEAN,INITIAL WAFER INSPECTION
valid_0101,CLEAN AFTER VIA ETCH,CLEAN AFTER ETCH,CLEAN AFTER METAL ETCH,DIELECTRIC ETCH VIA,MEASURE SPACER WIDTH
valid_0102,STRIP RESIST,STRIP PHOTORESIST,STRIP RESIST LEVEL 2,HARD BAKE,FINAL CLEAN
valid_0103,DEPOSIT BARRIER METAL,MEASURE VIA CD,MEASURE VIA RESISTANCE,DEPOSIT PASSIVATION LAYER,MEASURE GATE CD
valid_0104,PASSIVATION ETCH PAD OPENING,PASSIVATION ETCH,CMP VIA FILL,CMP METAL,PATTERN INSPECTION LEVEL 1
valid_0105,DEPOSIT BARRIER METAL,MEASURE VIA CD,MEASURE VIA RESISTANCE,MEASURE GATE CD,DEPOSIT PASSIVATION LAYER
valid_0106,STRIP RESIST,STRIP PHOTORESIST,STRIP RESIST LEVEL 2,FINAL CLEAN,FINAL PARTICLE INSPECTION
valid_0107,DEPOSIT METAL SEED,DEPOSIT TUNGSTEN SEED,FILL VIA METAL,PATTERN INSPECTION LEVEL 1,DEPOSIT TOP METAL
valid_0108,PASSIVATION ETCH PAD OPENING,PASSIVATION ETCH,METAL PATTERN INSPECTION,VIA OPENING INSPECTION,VIA ETCH
valid_0109,CLEAN AFTER VIA ETCH,CLEAN AFTER ETCH,CLEAN AFTER METAL ETCH,DIELECTRIC ETCH VIA,CLEAN AFTER FIELD ETCH
valid_0110,DEVELOP PHOTORESIST,DEVELOP PAD WINDOW,POST EXPOSE BAKE,CLEAN AFTER METAL ETCH,PARAMETRIC TEST
valid_0111,CLEAN AFTER VIA ETCH,CLEAN AFTER ETCH,CLEAN AFTER METAL ETCH,VIA ETCH THROUGH DIELECTRIC,DIELECTRIC ETCH VIA
valid_0112,STRIP RESIST,STRIP PHOTORESIST,STRIP RESIST LEVEL 2,FINAL CLEAN,CLEAN AFTER METAL ETCH
valid_0113,MEASURE VIA CD,DEPOSIT BARRIER METAL,MEASURE VIA RESISTANCE,POLYSILICON ETCH,MEASURE GATE CD
valid_0114,CLEAN PAD OPENING,PRE CLEAN INSPECTION,INITIAL WAFER INSPECTION,LEAKAGE TEST,GRINDING WAFER BACKSIDE
valid_0115,MEASURE VIA CD,DEPOSIT BARRIER METAL,MEASURE VIA RESISTANCE,MEASURE GATE CD,BREAKDOWN VOLTAGE TEST
valid_0116,STRIP RESIST,STRIP PHOTORESIST,STRIP RESIST LEVEL 2,FINAL CLEAN,IMPLANT WELL
valid_0117,CLEAN AFTER VIA ETCH,CLEAN AFTER ETCH,DIELECTRIC ETCH VIA,CLEAN AFTER METAL ETCH,MEASURE SPACER WIDTH
valid_0118,PASSIVATION ETCH PAD OPENING,PASSIVATION ETCH,METAL PATTERN INSPECTION,EPITAXIAL REWORK CHECK,VIA OPENING INSPECTION
valid_0119,DEPOSIT BARRIER METAL,MEASURE VIA CD,MEASURE VIA RESISTANCE,DEPOSIT PASSIVATION LAYER,MEASURE GATE CD
valid_0120,CLEAN PAD OPENING,PRE CLEAN INSPECTION,INITIAL WAFER INSPECTION,FINAL OXIDE CHECK,LEAKAGE TEST
valid_0121,MEASURE VIA CD,DEPOSIT BARRIER METAL,MEASURE VIA RESISTANCE,MEASURE GATE CD,DIELECTRIC ETCH VIA
valid_0122,PASSIVATION ETCH PAD OPENING,PASSIVATION ETCH,METAL PATTERN INSPECTION,VIA OPENING INSPECTION,IMPLANT N-TYPE
valid_0123,FILL VIA METAL,FILL VIA TUNGSTEN,DEPOSIT METAL SEED,BACKSIDE RINSE,<eos>
valid_0124,CLEAN PAD OPENING,LEAKAGE TEST,PRE CLEAN INSPECTION,FINAL OXIDE CHECK,GRINDING WAFER BACKSIDE
valid_0125,MEASURE VIA CD,DEPOSIT BARRIER METAL,MEASURE VIA RESISTANCE,BREAKDOWN VOLTAGE TEST,MEASURE GATE CD
valid_0126,STRIP RESIST,STRIP PHOTORESIST,STRIP RESIST LEVEL 2,FINAL CLEAN,PRE CLEAN WAFER
valid_0127,CLEAN AFTER VIA ETCH,CLEAN AFTER ETCH,DIELECTRIC ETCH VIA,CLEAN AFTER METAL ETCH,CLEAN AFTER POLY ETCH
valid_0128,STRIP PHOTORESIST,STRIP RESIST,STRIP RESIST LEVEL 2,HARD BAKE,FINAL CLEAN
valid_0129,VIA ETCH,HARD BAKE,VIA ETCH THROUGH DIELECTRIC,DIELECTRIC ETCH VIA,OXIDE ETCH
valid_0130,DEVELOP PAD WINDOW,DEVELOP PHOTORESIST,POST EXPOSE BAKE,CURE PASSIVATION,METAL PATTERN INSPECTION
valid_0131,DEPOSIT METAL SEED,DEPOSIT TUNGSTEN SEED,FILL VIA METAL,ANNEAL DIELECTRIC,INSPECT PATTERN LEVEL 1
valid_0132,CLEAN PAD OPENING,CLEAN AFTER METAL ETCH,PRE CLEAN INSPECTION,INITIAL WAFER INSPECTION,LEAKAGE TEST
valid_0133,DEPOSIT METAL SEED,DEPOSIT TUNGSTEN SEED,FILL VIA METAL,WAFER SORT TEST,INSPECT PATTERN LEVEL 1
valid_0134,CLEAN PAD OPENING,PRE CLEAN INSPECTION,LEAKAGE TEST,INITIAL WAFER INSPECTION,GRINDING WAFER BACKSIDE
valid_0135,DEPOSIT METAL SEED,DEPOSIT TUNGSTEN SEED,FILL VIA METAL,ANNEAL DIELECTRIC,DEPOSIT BARRIER METAL
valid_0136,CLEAN PAD OPENING,PRE CLEAN INSPECTION,INITIAL WAFER INSPECTION,BACKSIDE DRY,BACKSIDE ETCH CLEAN
valid_0137,MEASURE VIA CD,DEPOSIT BARRIER METAL,MEASURE VIA RESISTANCE,POLYSILICON ETCH,MEASURE GATE CD
valid_0138,PASSIVATION ETCH PAD OPENING,PASSIVATION ETCH,METAL PATTERN INSPECTION,VIA OPENING INSPECTION,VIA ETCH
valid_0139,CLEAN AFTER VIA ETCH,CLEAN AFTER ETCH,CLEAN AFTER METAL ETCH,VIA ETCH THROUGH DIELECTRIC,DIELECTRIC ETCH VIA
valid_0140,STRIP RESIST,STRIP PHOTORESIST,STRIP RESIST LEVEL 2,FINAL CLEAN,IMPLANT WELL
valid_0141,DEPOSIT BARRIER METAL,MEASURE VIA CD,MEASURE VIA RESISTANCE,DEPOSIT PASSIVATION LAYER,DEPOSIT METAL 1
valid_0142,STRIP PHOTORESIST,STRIP RESIST,FINAL CLEAN,STRIP RESIST LEVEL 2,OPEN PAD WINDOW
valid_0143,DEPOSIT METAL SEED,DEPOSIT TUNGSTEN SEED,FILL VIA METAL,INSPECT PATTERN LEVEL 1,WAFER SORT TEST
valid_0144,PASSIVATION ETCH PAD OPENING,PASSIVATION ETCH,CMP VIA FILL,CMP METAL,CLEAN PAD OPENING
valid_0145,MEASURE VIA CD,DEPOSIT BARRIER METAL,MEASURE VIA RESISTANCE,BREAKDOWN VOLTAGE TEST,MEASURE GATE CD
valid_0146,PASSIVATION ETCH PAD OPENING,PASSIVATION ETCH,CMP VIA FILL,CMP METAL,VIA OPENING INSPECTION
valid_0147,MEASURE VIA CD,DEPOSIT BARRIER METAL,MEASURE VIA RESISTANCE,MEASURE GATE CD,MEASURE SPACER WIDTH
valid_0148,STRIP RESIST,STRIP PHOTORESIST,STRIP RESIST LEVEL 2,FINAL CLEAN,IMPLANT WELL
valid_0149,MEASURE VIA CD,DEPOSIT BARRIER METAL,MEASURE VIA RESISTANCE,MEASURE GATE CD,FILL VIA METAL
valid_0150,STRIP PHOTORESIST,STRIP RESIST,STRIP RESIST LEVEL 2,FINAL CLEAN,HARD BAKE
valid_0151,MEASURE VIA CD,DEPOSIT BARRIER METAL,MEASURE VIA RESISTANCE,MEASURE GATE CD,BREAKDOWN VOLTAGE TEST
valid_0152,DEVELOP PHOTORESIST,DEVELOP PAD WINDOW,POST EXPOSE BAKE,METAL PATTERN INSPECTION,CURE PASSIVATION
valid_0153,MEASURE VIA CD,DEPOSIT BARRIER METAL,MEASURE VIA RESISTANCE,MEASURE GATE CD,POLYSILICON ETCH
valid_0154,DEVELOP PAD WINDOW,DEVELOP PHOTORESIST,POST EXPOSE BAKE,CURE PASSIVATION,ELECTRICAL PARAMETRIC TEST
valid_0155,CLEAN AFTER VIA ETCH,CLEAN AFTER ETCH,CLEAN AFTER METAL ETCH,VIA ETCH THROUGH DIELECTRIC,EXPOSE LITHO LEVEL 3
valid_0156,STRIP RESIST,STRIP PHOTORESIST,STRIP RESIST LEVEL 2,FINAL CLEAN,CLEAN AFTER METAL ETCH
valid_0157,DEPOSIT BARRIER METAL,MEASURE VIA CD,MEASURE VIA RESISTANCE,MEASURE GATE CD,DEPOSIT PASSIVATION LAYER
valid_0158,PASSIVATION ETCH PAD OPENING,PASSIVATION ETCH,METAL PATTERN INSPECTION,VIA OPENING INSPECTION,EPITAXIAL REWORK CHECK
valid_0159,MEASURE VIA CD,DEPOSIT BARRIER METAL,MEASURE VIA RESISTANCE,BREAKDOWN VOLTAGE TEST,DIELECTRIC ETCH VIA
valid_0160,STRIP RESIST,STRIP PHOTORESIST,STRIP RESIST LEVEL 2,FINAL CLEAN,IMPLANT WELL
valid_0161,STRIP PHOTORESIST,STRIP RESIST,STRIP RESIST LEVEL 2,HARD BAKE,FINAL CLEAN
valid_0162,DEVELOP PAD WINDOW,DEVELOP PHOTORESIST,POST EXPOSE BAKE,MEASURE BACKSIDE CONTACT,METAL PATTERN INSPECTION
valid_0163,MEASURE VIA CD,DEPOSIT BARRIER METAL,MEASURE VIA RESISTANCE,MEASURE GATE CD,BREAKDOWN VOLTAGE TEST
valid_0164,STRIP RESIST,STRIP PHOTORESIST,STRIP RESIST LEVEL 2,FINAL CLEAN,IMPLANT WELL
valid_0165,MEASURE VIA CD,DEPOSIT BARRIER METAL,MEASURE VIA RESISTANCE,MEASURE GATE CD,POLYSILICON ETCH
valid_0166,STRIP PHOTORESIST,STRIP RESIST,STRIP RESIST LEVEL 2,FINAL CLEAN,HARD BAKE
valid_0167,DEPOSIT BARRIER METAL,MEASURE VIA CD,MEASURE VIA RESISTANCE,MEASURE GATE CD,DEPOSIT PASSIVATION LAYER
valid_0168,CLEAN PAD OPENING,PRE CLEAN INSPECTION,INITIAL WAFER INSPECTION,BACKSIDE DRY,CLEAN AFTER METAL ETCH
valid_0169,STRIP RESIST,STRIP PHOTORESIST,STRIP RESIST LEVEL 2,HARD BAKE,WAFER CLEAN PRE PROCESS
valid_0170,STRIP RESIST,STRIP PHOTORESIST,STRIP RESIST LEVEL 2,FINAL CLEAN,CLEAN AFTER METAL ETCH
valid_0171,DEPOSIT METAL SEED,DEPOSIT TUNGSTEN SEED,ANNEAL DIELECTRIC,INSPECT PATTERN LEVEL 1,DEPOSIT BARRIER METAL
valid_0172,STRIP PHOTORESIST,STRIP RESIST,FINAL CLEAN,STRIP RESIST LEVEL 2,HARD BAKE
valid_0173,MEASURE VIA CD,DEPOSIT BARRIER METAL,MEASURE VIA RESISTANCE,MEASURE GATE CD,BREAKDOWN VOLTAGE TEST
valid_0174,PASSIVATION ETCH PAD OPENING,PASSIVATION ETCH,CMP VIA FILL,CMP METAL,PATTERN INSPECTION LEVEL 1
valid_0175,MEASURE VIA CD,DEPOSIT BARRIER METAL,MEASURE VIA RESISTANCE,MEASURE GATE CD,BREAKDOWN VOLTAGE TEST
valid_0176,STRIP RESIST,STRIP PHOTORESIST,STRIP RESIST LEVEL 2,FINAL CLEAN,HARD BAKE
valid_0177,DEPOSIT METAL SEED,DEPOSIT TUNGSTEN SEED,FILL VIA METAL,WAFER SORT TEST,CMP VIA FILL
valid_0178,STRIP RESIST,STRIP PHOTORESIST,STRIP RESIST LEVEL 2,FINAL CLEAN,HARD BAKE
valid_0179,FILL VIA METAL,FILL VIA TUNGSTEN,<eos>,DIELECTRIC ETCH VIA,POLYSILICON ETCH
valid_0180,MEASURE PAD OPENING,PATTERN INSPECTION LEVEL 2,DEPOSIT PAD OXIDE,IMPLANT N BUFFER,BACKSIDE RINSE
valid_0181,STRIP PHOTORESIST,STRIP RESIST,STRIP RESIST LEVEL 2,HARD BAKE,FINAL CLEAN
valid_0182,DEVELOP PHOTORESIST,DEVELOP PAD WINDOW,POST EXPOSE BAKE,CLEAN AFTER METAL ETCH,METAL PATTERN INSPECTION
valid_0183,DEPOSIT BARRIER METAL,MEASURE VIA CD,MEASURE VIA RESISTANCE,DEPOSIT PASSIVATION LAYER,MEASURE GATE CD
valid_0184,STRIP RESIST,STRIP PHOTORESIST,STRIP RESIST LEVEL 2,FINAL CLEAN,PRE CLEAN WAFER
valid_0185,DEPOSIT BARRIER METAL,MEASURE VIA CD,MEASURE VIA RESISTANCE,WET CLEAN RCA1,DEPOSIT SPACER DIELECTRIC
valid_0186,STRIP PHOTORESIST,STRIP RESIST,FINAL CLEAN,STRIP RESIST LEVEL 2,HARD BAKE
